b,h,h0,ah,l,fc,ft,fy1,As1,Vu
100,200,168,4.17,2100,24.665344,2.528219459,667,186,21.58
150,200,159,2.52,2550,64.56008545,3.771594874,510,628,95.77
150,200,159,2.52,2550,64.56008545,3.771594874,510,628,115.77
240,350,300,2.94,1800,19.635968,2.230209164,426,905,70.99
240,650,600,2.94,3600,25.07554133,2.551258689,426,1810,119.48
240,950,900,2.94,5400,23.28315733,2.449287987,426,2714,166.38
240,1250,1200,2.94,7200,21.35701333,2.335684118,426,3619,187.1
240,650,600,2.94,3600,22.525184,2.405107061,426,905,106.9
240,650,600,2.94,3600,20.946816,2.310903084,422,905,115.38
240,950,900,2.94,5400,23.07805867,2.437397843,426,1357,140.05
240,950,900,2.94,5400,23.488256,2.461131091,422,1357,127.63
200,400,360,2.9,2160,40.27384931,3.255439871,500,1608,99.69
200,400,360,2.9,2160,40.27384931,3.255439871,500,1608,177.6
200,400,360,2.9,2160,47.34791852,3.450311835,500,1608,108.14
200,400,360,2.9,2160,52.26692085,3.563080053,500,1608,99.93
200,400,360,2.9,2160,62.25310807,3.740169873,500,1608,117.85
203,406,356,3,2152,32.97629867,2.966045928,478,1257,96
203,406,356,3,2152,32.97629867,2.966045928,478,1257,97.1
203,406,356,3,2152,27.82208,2.701351508,478,1257,87.4
203,406,356,3,2152,27.82208,2.701351508,478,1257,94.4
203,406,356,3,2152,30.22976,2.827521441,478,1257,99.4
203,406,356,3,2152,30.22976,2.827521441,478,1257,96.4
101.6,152.4,136.7,4.09,1168.4,23.0648,2.436627568,328,401,19.88
101.6,152.4,136.7,2.6,762,23.0648,2.436627568,328,258,19.57
101.6,152.4,136.7,3.35,965.2,23.0648,2.436627568,328,329,19.62
101.6,152.4,136.7,3.35,965.2,23.0648,2.436627568,328,329,17.79
101.6,152.4,136.7,4.09,1168.4,14.7576,1.906011324,328,329,16.59
101.6,152.4,136.7,3.72,1066.8,32.2872,2.931794552,328,258,21.08
101.6,152.4,136.7,3.72,1066.8,26.6376,2.637479687,328,258,21.44
101.6,152.4,136.7,3.72,1066.8,26.928,2.653255521,328,258,21.62
101.6,152.4,136.7,3.72,1066.8,26.928,2.653255521,328,401,28.87
101.6,152.4,136.7,3.72,1066.8,26.928,2.653255521,328,401,27.49
101.6,152.4,136.7,3.72,1066.8,26.0568,2.605694019,328,401,22.42
101.6,152.4,136.7,3.72,1066.8,26.0568,2.605694019,328,401,25.93
101.6,152.4,136.7,3.72,1066.8,26.8136,2.647049982,328,401,24.51
101.6,152.4,136.7,3.72,1066.8,26.8136,2.647049982,328,401,23.35
300,1000,925,2.88,5400,30.096,2.82063344,550,2800,227.86
300,1000,925,2.88,5400,67.688238,3.808541196,550,2800,193
